Ball,Over,BallInOver,Bowler,Striker,NonStriker,Outcome,Runs,TotalRuns,Wickets
34,6,4,"Arshdeep Singh","Rohit Sharma","Arshdeep Singh",2,2,81,1
35,6,5,"Arshdeep Singh","Rohit Sharma","Arshdeep Singh",2,2,83,1
36,7,0,"Jasprit Bumrah","Rohit Sharma","Rohit Sharma",2,2,85,1
37,7,1,"Jasprit Bumrah","Arshdeep Singh","Rohit Sharma",4,4,89,1
38,7,2,"Jasprit Bumrah","Arshdeep Singh","Arshdeep Singh",1,1,90,1
39,7,3,"Jasprit Bumrah","Rohit Sharma","Arshdeep Singh",6,6,96,1
40,7,4,"Jasprit Bumrah","Rohit Sharma","Arshdeep Singh",DOT,0,96,1
41,7,5,"Jasprit Bumrah","Rohit Sharma","Arshdeep Singh",6,6,102,1
42,8,0,"Mohammed Siraj","Rohit Sharma","Rohit Sharma",2,2,104,1
43,8,1,"Mohammed Siraj","Arshdeep Singh","Rohit Sharma",DOT,0,104,1
44,8,2,"Mohammed Siraj","Arshdeep Singh","Arshdeep Singh",1,1,105,1
45,8,3,"Mohammed Siraj","Rohit Sharma","Arshdeep Singh",DOT,0,105,1
46,8,4,"Mohammed Siraj","Rohit Sharma","Arshdeep Singh",4,4,109,1
47,8,5,"Mohammed Siraj","Rohit Sharma","Rohit Sharma",1,1,110,1
48,9,0,"Hardik Pandya","Arshdeep Singh","Arshdeep Singh",DOT,0,110,1
49,9,1,"Hardik Pandya","Rohit Sharma","Arshdeep Singh",W,0,110,2
49,9,1,"Hardik Pandya","Jasprit Bumrah","Jasprit Bumrah",NB,1,111,2
50,9,2,"Hardik Pandya","Arshdeep Singh","Jasprit Bumrah",4,4,115,2
51,9,3,"Hardik Pandya","Arshdeep Singh","Jasprit Bumrah",DOT,0,115,2
52,9,4,"Hardik Pandya","Arshdeep Singh","Jasprit Bumrah",W,0,115,3
53,9,5,"Hardik Pandya","Kuldeep Yadav","Jasprit Bumrah",DOT,0,115,3
54,10,0,"Axar Patel","Kuldeep Yadav","Kuldeep Yadav",6,6,121,3
55,10,1,"Axar Patel","Jasprit Bumrah","Kuldeep Yadav",6,6,127,3
56,10,2,"Axar Patel","Jasprit Bumrah","Jasprit Bumrah",1,1,128,3
57,10,3,"Axar Patel","Kuldeep Yadav","Jasprit Bumrah",DOT,0,128,3
58,10,4,"Axar Patel","Kuldeep Yadav","Jasprit Bumrah",DOT,0,128,3
59,10,5,"Axar Patel","Kuldeep Yadav","Jasprit Bumrah",DOT,0,128,3
60,11,0,"Kuldeep Yadav","Kuldeep Yadav","Jasprit Bumrah",1,1,129,3
61,11,1,"Kuldeep Yadav","Kuldeep Yadav","Kuldeep Yadav",1,1,130,3
62,11,2,"Kuldeep Yadav","Jasprit Bumrah","Jasprit Bumrah",1,1,131,3
63,11,3,"Kuldeep Yadav","Kuldeep Yadav","Kuldeep Yadav",1,1,132,3
64,11,4,"Kuldeep Yadav","Jasprit Bumrah","Jasprit Bumrah",1,1,133,3
65,11,5,"Kuldeep Yadav","Kuldeep Yadav","Kuldeep Yadav",1,1,134,3
65,11,5,"Kuldeep Yadav","Jasprit Bumrah","Jasprit Bumrah",WD,1,135,3
66,12,0,"Arshdeep Singh","Kuldeep Yadav","Kuldeep Yadav",DOT,0,135,3
67,12,1,"Arshdeep Singh","Jasprit Bumrah","Kuldeep Yadav",4,4,139,3
68,12,2,"Arshdeep Singh","Jasprit Bumrah","Kuldeep Yadav",6,6,145,3
68,12,2,"Arshdeep Singh","Jasprit Bumrah","Jasprit Bumrah",WD,1,146,3
69,12,3,"Arshdeep Singh","Kuldeep Yadav","Jasprit Bumrah",6,6,152,3
70,12,4,"Arshdeep Singh","Kuldeep Yadav","Jasprit Bumrah",DOT,0,152,3
71,12,5,"Arshdeep Singh","Kuldeep Yadav","Jasprit Bumrah",W,0,152,4
72,13,0,"Jasprit Bumrah","Axar Patel","Axar Patel",2,2,154,4
73,13,1,"Jasprit Bumrah","Jasprit Bumrah","Axar Patel",2,2,156,4
74,13,2,"Jasprit Bumrah","Jasprit Bumrah","Axar Patel",W,0,156,5
75,13,3,"Jasprit Bumrah","Dinesh Karthik","Axar Patel",6,6,162,5
76,13,4,"Jasprit Bumrah","Dinesh Karthik","Dinesh Karthik",1,1,163,5
77,13,5,"Jasprit Bumrah","Axar Patel","Dinesh Karthik",DOT,0,163,5
78,14,0,"Mohammed Siraj","Axar Patel","Dinesh Karthik",1,1,164,5
79,14,1,"Mohammed Siraj","Axar Patel","Axar Patel",1,1,165,5
80,14,2,"Mohammed Siraj","Dinesh Karthik","Axar Patel",DOT,0,165,5
81,14,3,"Mohammed Siraj","Dinesh Karthik","Dinesh Karthik",1,1,166,5
82,14,4,"Mohammed Siraj","Axar Patel","Dinesh Karthik",6,6,172,5
83,14,5,"Mohammed Siraj","Axar Patel","Dinesh Karthik",DOT,0,172,5
84,15,0,"Jasprit Bumrah","Axar Patel","Axar Patel",4,4,176,5
85,15,1,"Jasprit Bumrah","Dinesh Karthik","Dinesh Karthik",3,3,179,5
86,15,2,"Jasprit Bumrah","Axar Patel","Dinesh Karthik",DOT,0,179,5
86,15,2,"Jasprit Bumrah","Axar Patel","Axar Patel",WD,1,180,5
87,15,3,"Jasprit Bumrah","Dinesh Karthik","Axar Patel",DOT,0,180,5
88,15,4,"Jasprit Bumrah","Dinesh Karthik","Dinesh Karthik",1,1,181,5
89,15,5,"Jasprit Bumrah","Axar Patel","Dinesh Karthik",6,6,187,5
90,16,0,"Arshdeep Singh","Axar Patel","Axar Patel",DOT,0,187,5
91,16,1,"Arshdeep Singh","Dinesh Karthik","Dinesh Karthik",3,3,190,5
92,16,2,"Arshdeep Singh","Axar Patel","Dinesh Karthik",DOT,0,190,5
